Test: Spec_Benchmark/008.espresso.din; Assoc: 2; Mean Energy: 0.0021407832819999996; StdDev Energy: 2.7673202001382346e-07; Mean Time: 528723.95; StdDev Time: 22.896997619775387
Test: Spec_Benchmark/008.espresso.din; Assoc: 4; Mean Energy: 0.0021398805150000004; StdDev Energy: 4.336808689942018e-19; Mean Time: 528678.5; StdDev Time: 0.0
Test: Spec_Benchmark/008.espresso.din; Assoc: 8; Mean Energy: 0.0021398805150000004; StdDev Energy: 4.336808689942018e-19; Mean Time: 528678.5; StdDev Time: 0.0
Test: Spec_Benchmark/013.spice2g6.din; Assoc: 2; Mean Energy: 0.0022043409900000008; StdDev Energy: 4.336808689942018e-19; Mean Time: 542139.0; StdDev Time: 0.0
Test: Spec_Benchmark/013.spice2g6.din; Assoc: 4; Mean Energy: 0.0022043409900000008; StdDev Energy: 4.336808689942018e-19; Mean Time: 542139.0; StdDev Time: 0.0
Test: Spec_Benchmark/013.spice2g6.din; Assoc: 8; Mean Energy: 0.0022043409900000008; StdDev Energy: 4.336808689942018e-19; Mean Time: 542139.0; StdDev Time: 0.0
Test: Spec_Benchmark/015.doduc.din; Assoc: 2; Mean Energy: 0.0023713490559999994; StdDev Energy: 5.646512904828603e-07; Mean Time: 576511.7; StdDev Time: 66.87308875773573
Test: Spec_Benchmark/015.doduc.din; Assoc: 4; Mean Energy: 0.002369384873; StdDev Energy: 6.111741437601798e-07; Mean Time: 576349.25; StdDev Time: 75.65489078704694
Test: Spec_Benchmark/015.doduc.din; Assoc: 8; Mean Energy: 0.0023670412799999996; StdDev Energy: 0.0; Mean Time: 576045.5; StdDev Time: 0.0
Test: Spec_Benchmark/022.li.din; Assoc: 2; Mean Energy: 0.0021824644360000003; StdDev Energy: 1.086278350124425e-06; Mean Time: 537423.95; StdDev Time: 188.26410305738054
Test: Spec_Benchmark/022.li.din; Assoc: 4; Mean Energy: 0.0021733006850000003; StdDev Energy: 0.0; Mean Time: 536352.5; StdDev Time: 0.0
Test: Spec_Benchmark/022.li.din; Assoc: 8; Mean Energy: 0.0021733006850000003; StdDev Energy: 0.0; Mean Time: 536352.5; StdDev Time: 0.0
Test: Spec_Benchmark/023.eqntott.din; Assoc: 2; Mean Energy: 0.0020874387150000002; StdDev Energy: 0.0; Mean Time: 517289.0; StdDev Time: 0.0
Test: Spec_Benchmark/023.eqntott.din; Assoc: 4; Mean Energy: 0.0020874387150000002; StdDev Energy: 0.0; Mean Time: 517289.0; StdDev Time: 0.0
Test: Spec_Benchmark/023.eqntott.din; Assoc: 8; Mean Energy: 0.0020874387150000002; StdDev Energy: 0.0; Mean Time: 517289.0; StdDev Time: 0.0
Test: Spec_Benchmark/026.compress.din; Assoc: 2; Mean Energy: 0.002213285168; StdDev Energy: 2.085051374708895e-06; Mean Time: 528992.6; StdDev Time: 272.0234181095444
Test: Spec_Benchmark/026.compress.din; Assoc: 4; Mean Energy: 0.002221967028; StdDev Energy: 2.9234143007408206e-06; Mean Time: 530223.8; StdDev Time: 399.76212927189596
Test: Spec_Benchmark/026.compress.din; Assoc: 8; Mean Energy: 0.002197342305; StdDev Energy: 3.2805177836562646e-06; Mean Time: 530700.35; StdDev Time: 504.3656932226854
Test: Spec_Benchmark/034.mdljdp2.din; Assoc: 2; Mean Energy: 0.002196407998; StdDev Energy: 1.6603549577118375e-07; Mean Time: 538493.0; StdDev Time: 22.045407685048602
Test: Spec_Benchmark/034.mdljdp2.din; Assoc: 4; Mean Energy: 0.00219609455; StdDev Energy: 0.0; Mean Time: 538475.0; StdDev Time: 0.0
Test: Spec_Benchmark/034.mdljdp2.din; Assoc: 8; Mean Energy: 0.00219609455; StdDev Energy: 0.0; Mean Time: 538475.0; StdDev Time: 0.0
Test: Spec_Benchmark/039.wave5.din; Assoc: 2; Mean Energy: 0.002120679545; StdDev Energy: 0.0; Mean Time: 522963.5; StdDev Time: 0.0
Test: Spec_Benchmark/039.wave5.din; Assoc: 4; Mean Energy: 0.002120679545; StdDev Energy: 0.0; Mean Time: 522963.5; StdDev Time: 0.0
Test: Spec_Benchmark/039.wave5.din; Assoc: 8; Mean Energy: 0.002120679545; StdDev Energy: 0.0; Mean Time: 522963.5; StdDev Time: 0.0
Test: Spec_Benchmark/047.tomcatv.din; Assoc: 2; Mean Energy: 0.0022839740610000004; StdDev Energy: 3.4294709594722723e-06; Mean Time: 528467.9; StdDev Time: 270.2009252389784
Test: Spec_Benchmark/047.tomcatv.din; Assoc: 4; Mean Energy: 0.002291290774; StdDev Energy: 2.151171846150099e-06; Mean Time: 527927.45; StdDev Time: 256.4087995759896
Test: Spec_Benchmark/047.tomcatv.din; Assoc: 8; Mean Energy: 0.002296058442; StdDev Energy: 3.49122532941093e-06; Mean Time: 527922.05; StdDev Time: 250.84382093246785
Test: Spec_Benchmark/048.ora.din; Assoc: 2; Mean Energy: 0.0020993857199999998; StdDev Energy: 0.0; Mean Time: 518667.0; StdDev Time: 0.0
Test: Spec_Benchmark/048.ora.din; Assoc: 4; Mean Energy: 0.0020993857199999998; StdDev Energy: 0.0; Mean Time: 518667.0; StdDev Time: 0.0
Test: Spec_Benchmark/048.ora.din; Assoc: 8; Mean Energy: 0.0020993857199999998; StdDev Energy: 0.0; Mean Time: 518667.0; StdDev Time: 0.0
